player,pos,team,bye,adp,sdev,minpk,maxpk,n
Christian McCaffrey,RB,CAR,13,1.3,0.6,1,6,917
Saquon Barkley,RB,NYG,11,2.4,0.7,1,6,923
Ezekiel Elliott,RB,DAL,10,4.0,1.5,1,10,889
Michael Thomas,WR,NO,6,5.0,1.4,1,10,567
Alvin Kamara,RB,NO,6,5.2,1.4,1,12,663
Dalvin Cook,RB,MIN,7,5.8,1.4,2,11,691
Clyde Edwards-Helaire,RB,KC,10,6.6,1.6,1,16,930
Derrick Henry,RB,TEN,7,7.5,1.6,2,14,889
Josh Jacobs,RB,LV,6,9.5,1.8,2,17,691
Davante Adams,WR,GB,5,10.1,2.0,4,18,733
Austin Ekeler,RB,LAC,10,11.3,1.9,5,19,850
Miles Sanders,RB,PHI,9,12.2,2.2,6,20,591
Joe Mixon,RB,CIN,9,13.0,2.7,4,20,924
Kenyan Drake,RB,ARI,8,14.3,2.6,7,22,966
Julio Jones,WR,ATL,10,14.5,2.8,5,23,914
Tyreek Hill,WR,KC,10,15.7,3.0,5,27,890
Nick Chubb,RB,CLE,9,16.3,3.0,6,24,944
Aaron Jones,RB,GB,5,17.5,3.0,3,28,924
DeAndre Hopkins,WR,ARI,8,18.7,3.2,7,27,887
Pat Mahomes,QB,KC,10,18.9,5.3,1,32,665
Travis Kelce,TE,KC,10,19.9,3.7,2,30,809
Chris Godwin,WR,TB,13,21.6,2.8,12,29,852
James Conner,RB,PIT,8,22.3,3.4,13,34,800
Lamar Jackson,QB,BAL,8,22.9,5.5,2,34,737
George Kittle,TE,SF,11,24.6,3.7,8,35,800
Kenny Golladay,WR,DET,5,25.9,3.2,13,35,781
Chris Carson,RB,SEA,6,26.1,3.9,13,38,892
Mike Evans,WR,TB,13,28.0,3.4,13,37,738
David Johnson,RB,HOU,8,28.5,3.9,12,43,789
Todd Gurley,RB,ATL,10,29.5,4.8,9,44,702
Adam Thielen,WR,MIN,7,30.0,3.5,14,42,847
Jonathan Taylor,RB,IND,7,31.7,4.4,13,44,670
Allen Robinson,WR,CHI,11,31.9,3.4,18,41,629
D.J. Moore,WR,CAR,13,32.9,3.7,20,51,765
Odell Beckham Jr,WR,CLE,9,35.0,4.1,21,46,811
Leonard Fournette,RB,JAX,7,35.6,6.3,1,51,114
LeVeon Bell,RB,NYJ,11,35.6,4.9,12,55,686
JuJu Smith-Schuster,WR,PIT,8,36.7,3.9,19,47,855
Amari Cooper,WR,DAL,10,37.8,4.0,25,48,725
Melvin Gordon,RB,DEN,8,38.4,5.0,16,52,845
Cooper Kupp,WR,LAR,9,40.2,4.3,23,53,756
Calvin Ridley,WR,ATL,10,40.4,4.0,25,55,896
Mark Andrews,TE,BAL,8,41.7,5.9,22,57,503
Robert Woods,WR,LAR,9,41.9,3.7,30,55,817
Mark Ingram,RB,BAL,8,42.1,5.1,19,58,663
A.J. Brown,WR,TEN,7,43.9,4.0,25,56,586
D.K. Metcalf,WR,SEA,6,44.9,4.1,23,58,622
Devin Singletary,RB,BUF,11,46.7,5.3,21,60,430
D.J. Chark,WR,JAX,7,47.0,4.5,29,63,727
Raheem Mostert,RB,SF,11,47.5,6.2,29,66,796
Tyler Lockett,WR,SEA,6,50.0,4.3,26,67,771
Zach Ertz,TE,PHI,9,50.2,6.5,24,65,649
Terry McLaurin,WR,WAS,8,50.5,4.0,34,67,616
Cam Akers,RB,LAR,9,51.2,6.0,28,66,768
Kareem Hunt,RB,CLE,9,52.6,6.0,28,69,809
Keenan Allen,WR,LAC,10,53.9,4.9,33,72,889
Dak Prescott,QB,DAL,10,54.1,8.0,30,77,427
Ronald Jones II,RB,TB,13,55.8,5.5,32,71,832
Courtland Sutton,WR,DEN,8,56.9,5.5,25,72,808
T.Y. Hilton,WR,IND,7,57.6,5.1,37,74,696
Marquise Brown,WR,BAL,8,58.7,5.1,36,74,582
David Montgomery,RB,CHI,11,60.0,5.6,37,76,490
D'Andre Swift,RB,DET,5,61.1,5.5,31,75,565
Darren Waller,TE,LV,6,61.1,6.2,37,82,561
Russell Wilson,QB,SEA,6,61.9,7.3,24,82,558
Kyler Murray,QB,ARI,8,62.1,7.0,25,81,391
Stefon Diggs,WR,BUF,11,64.9,5.7,30,81,857
J.K. Dobbins,RB,BAL,8,65.8,5.6,35,83,568
DeVante Parker,WR,MIA,11,66.9,5.5,46,86,729
Deshaun Watson,QB,HOU,8,68.7,6.2,31,90,571
A.J. Green,WR,CIN,9,69.5,6.3,47,93,736
Rob Gronkowski,TE,TB,13,69.5,9.1,35,96,341
Will Fuller,WR,HOU,8,70.3,6.2,46,95,788
Michael Gallup,WR,DAL,10,71.7,6.9,50,96,802
James White,RB,NE,6,72.0,6.9,40,93,538
Marlon Mack,RB,IND,7,73.5,7.4,48,93,493
Evan Engram,TE,NYG,11,75.0,7.0,40,98,402
Tyler Boyd,WR,CIN,9,77.0,7.4,43,96,950
Antonio Gibson,RB,WAS,8,77.1,6.8,52,97,451
Julian Edelman,WR,NE,6,77.5,6.8,46,97,758
Hayden Hurst,TE,ATL,10,79.0,6.9,54,110,397
Drew Brees,QB,NO,6,79.3,9.2,26,106,314
Jordan Howard,RB,MIA,11,80.5,7.2,37,98,440
Brandin Cooks,WR,HOU,8,81.0,6.7,56,103,712
Zack Moss,RB,BUF,11,81.3,7.3,55,98,633
Phillip Lindsay,RB,DEN,8,84.2,6.6,61,99,568
Matt Ryan,QB,ATL,10,84.6,8.9,34,111,388
Tarik Cohen,RB,CHI,11,84.6,6.9,55,105,572
Jarvis Landry,WR,CLE,9,86.1,7.5,53,105,815
Deebo Samuel,WR,SF,11,87.9,8.4,2,109,544
Tom Brady,QB,TB,13,88.4,9.5,44,112,364
Tyler Higbee,TE,LAR,9,88.7,8.9,63,115,333
Diontae Johnson,WR,PIT,8,90.0,6.6,66,106,509
Matt Breida,RB,MIA,11,90.5,7.0,57,106,406
CeeDee Lamb,WR,DAL,10,92.3,8.5,41,109,614
Latavius Murray,RB,NO,6,92.5,7.4,69,110,603
Aaron Rodgers,QB,GB,5,94.5,9.0,56,116,373
Kerryon Johnson,RB,DET,5,95.1,7.4,61,118,530
Marvin Jones,WR,DET,5,96.1,7.4,68,113,617
Tevin Coleman,RB,SF,11,96.6,7.3,57,110,299
Alexander Mattison,RB,MIN,7,96.8,6.2,67,110,322
Hunter Henry,TE,LAC,10,96.9,10.9,56,135,445
Emmanuel Sanders,WR,NO,6,100.0,8.2,60,117,546
Damien Harris,RB,NE,6,100.3,6.7,75,114,293
Chase Edmonds,RB,ARI,8,101.3,6.8,77,125,405
Josh Allen,QB,BUF,11,101.6,9.3,71,121,483
Jamison Crowder,WR,NYJ,11,102.0,7.5,73,119,598
Henry Ruggs III,WR,LV,6,104.7,7.3,72,130,472
Mecole Hardman,WR,KC,10,105.2,9.2,73,120,309
San Francisco Defense,DEF,SF,11,105.8,8.8,48,123,316
Sony Michel,RB,NE,6,106.5,9.6,53,127,318
Carson Wentz,QB,PHI,9,107.0,9.2,72,125,396
Jalen Reagor,WR,PHI,9,110.3,7.1,82,123,174
Jerry Jeudy,WR,DEN,8,110.5,8.2,74,126,399
Matthew Stafford,QB,DET,5,110.7,8.0,83,127,610
A.J. Dillon,RB,GB,5,110.9,8.1,69,138,228
Darrell Henderson,RB,LAR,9,113.8,7.3,86,132,247
Darius Slayton,WR,NYG,11,113.9,7.1,73,127,340
Jared Cook,TE,NO,6,115.4,14.6,70,148,447
Sterling Shepard,WR,NYG,11,116.0,9.6,60,136,488
Christian Kirk,WR,ARI,8,116.5,7.9,84,132,444
Boston Scott,RB,PHI,9,118.2,8.7,84,141,409
Adrian Peterson,RB,WAS,8,118.5,8.9,86,139,262
Tony Pollard,RB,DAL,10,118.9,8.3,93,143,259
Noah Fant,TE,DEN,8,119.0,14.4,67,147,536
Pittsburgh Defense,DEF,PIT,8,119.3,8.5,25,138,336
Baltimore Defense,DEF,BAL,8,120.2,6.9,85,136,249
Cam Newton,QB,NE,6,120.9,8.9,73,143,531
Justin Jefferson,WR,MIN,7,122.3,8.8,73,138,262
Daniel Jones,QB,NYG,11,125.3,9.4,90,147,307
Buffalo Defense,DEF,BUF,11,125.5,7.9,97,146,233
DeSean Jackson,WR,PHI,9,126.2,8.3,97,144,406
Anthony Miller,WR,CHI,11,126.2,8.4,89,145,352
Bryce Love,RB,WAS,8,126.8,9.9,90,145,171
Duke Johnson,RB,HOU,8,128.5,10.4,99,154,333
Ben Roethlisberger,QB,PIT,8,129.3,10.6,54,148,359
Preston Williams,WR,MIA,11,130.2,10.4,61,146,250
Allen Lazard,WR,GB,5,131.4,8.3,99,150,301
Ryquell Armstead,RB,JAX,7,133.6,21.8,54,187,451
Ke'Shawn Vaughn,RB,TB,13,133.6,11.0,102,166,203
Joe Burrow,QB,CIN,9,134.6,9.2,75,154,300
Chicago Defense,DEF,CHI,11,135.6,7.7,108,163,239
Brandon Aiyuk,WR,SF,11,136.7,9.8,74,157,176
Justin Jackson,RB,LAC,10,137.4,11.9,84,172,271
Nyheim Hines,RB,IND,7,137.5,13.8,86,175,282
Austin Hooper,TE,CLE,9,137.5,17.9,60,178,721
Sammy Watkins,WR,KC,10,140.1,11.2,94,165,201
New England Defense,DEF,NE,6,140.1,7.9,116,162,193
T.J. Hockenson,TE,DET,5,142.4,17.9,68,174,568
Chris Thompson,RB,JAX,7,143.4,20.2,81,180,692
Justin Tucker,PK,BAL,8,144.4,11.5,5,159,758
Baker Mayfield,QB,CLE,9,145.3,11.8,88,174,264
Golden Tate,WR,NYG,11,145.7,15.0,95,175,200
Mike Gesicki,TE,MIA,11,146.4,19.6,80,180,493
Jared Goff,QB,LAR,9,147.2,15.2,17,178,330
Harrison Butker,PK,KC,10,148.3,11.5,20,160,426
John Brown,WR,BUF,11,148.8,13.7,86,176,238
LA Chargers Defense,DEF,LAC,10,149.0,9.0,128,177,131
Michael Pittman Jr.,WR,IND,7,152.4,13.4,99,176,177
Jonnu Smith,TE,TEN,7,152.8,18.0,91,180,349
Chris Herndon IV,TE,NYJ,11,152.9,16.8,90,182,257
Breshad Perriman,WR,NYJ,11,152.9,14.8,110,180,155
Jerick McKinnon,RB,SF,11,153.2,14.9,103,184,287
Jack Doyle,TE,IND,7,154.1,19.6,94,185,91
Tampa Bay Defense,DEF,TB,13,154.6,9.9,132,179,146
Blake Jarwin,TE,DAL,10,155.0,21.4,80,185,238
Darrel Williams,RB,KC,10,155.2,18.2,102,186,150
Joshua Kelley,RB,LAC,10,155.6,15.5,109,186,142
Jimmy Garoppolo,QB,SF,11,155.9,16.7,78,180,90
Benny Snell Jr.,RB,PIT,8,156.2,16.5,113,189,115
Wil Lutz,PK,NO,6,156.3,7.0,115,167,149
Gardner Minshew,QB,JAX,7,156.8,18.8,32,180,117
Greg Zuerlein,PK,DAL,10,157.1,8.2,118,171,126
Carlos Hyde,RB,SEA,6,157.5,17.0,103,184,263
Ryan Tannehill,QB,TEN,7,158.0,13.1,109,180,214
LeSean McCoy,RB,TB,13,158.1,18.5,95,185,179
Philip Rivers,QB,IND,7,158.2,16.5,86,181,170
Parris Campbell,WR,IND,7,158.7,14.3,119,182,155
Minnesota Defense,DEF,MIN,7,159.0,11.7,94,180,327
N'Keal Harry,WR,NE,6,159.8,15.3,64,183,189
Drew Lock,QB,DEN,8,159.9,19.2,41,180,80
Seattle Defense,DEF,SEA,6,161.5,13.6,24,180,197
Bryan Edwards,WR,LV,6,162.9,14.5,120,180,81
Larry Fitzgerald,WR,ARI,8,163.2,14.3,111,182,228
Curtis Samuel,WR,CAR,13,163.3,11.4,134,180,67
Mike Williams,WR,LAC,10,163.4,15.3,123,187,65
Robby Anderson,WR,CAR,13,163.7,18.5,43,189,92
Robbie Gould,PK,SF,11,163.7,4.2,147,179,146
New Orleans Defense,DEF,NO,6,164.6,9.6,116,180,244
Zane Gonzalez,PK,ARI,8,165.6,5.4,146,179,124
Kansas City Defense,DEF,KC,10,166.3,11.5,117,180,196
Matt Gay,PK,TB,13,167.7,5.7,145,179,96
Younghoe Koo,PK,ATL,10,168.9,6.5,127,180,147
Matt Prater,PK,DET,5,169.1,7.1,118,180,133
Philadelphia Defense,DEF,PHI,9,169.6,8.6,137,180,97
Indianapolis Defense,DEF,IND,7,170.1,7.7,146,186,121
Chris Boswell,PK,PIT,8,170.5,11.6,102,180,58
Kaimi Fairbairn,PK,HOU,8,171.9,4.4,160,180,109
Jake Elliott,PK,PHI,9,173.3,5.5,132,183,142
Dan Bailey,PK,MIN,7,173.6,4.4,163,180,96
